date,Actuator Z Position,Motor Z Current,Motor Y Temperature,Motor Z Temperature,Nut Y Temperature,Ambient Temperature,Motor Y Voltage
2010-09-03 15:55:55.000,40.517741,0.395627,25.701213,24.8332,25.780045,24.471002,3.032708
2010-09-03 15:55:55.050,41.894788,0.346857,25.53709,24.510731,25.773627,24.474223,2.802201
2010-09-03 15:55:55.100,43.232794,0.357308,26.249556,25.461428,26.407025,24.464558,-1.162751
2010-09-03 15:55:55.150,44.638232,0.307667,26.410229,24.517166,26.331502,24.46778,3.871746
2010-09-03 15:55:55.200,46.192731,0.331181,24.042718,25.54351,26.331502,24.46778,-1.767888
2010-09-03 15:55:55.250,47.772072,0.283282,25.306858,25.385755,25.937669,24.46778,3.685461
2010-09-03 15:55:55.300,49.113623,0.361662,25.306858,24.912176,25.701213,24.471002,-0.304547
2010-09-03 15:55:55.350,50.618432,0.345986,25.066875,25.145812,26.643131,24.471002,3.49785
2010-09-03 15:55:55.400,51.828666,0.288507,26.167595,24.668777,26.24635,24.471002,2.935646
2010-09-03 15:55:55.450,52.385871,0.30157,25.619158,24.987925,26.643131,24.46778,2.54601
2010-09-03 15:55:55.500,52.258104,0.441785,25.934461,24.197701,26.328297,24.471002,3.282324
2010-09-03 15:55:55.550,52.35038,0.293732,26.010047,26.561238,26.167595,24.461337,-0.680744
2010-09-03 15:55:55.600,52.403616,0.371242,26.013254,25.382544,25.224736,24.464558,3.307834
2010-09-03 15:55:55.650,52.428459,0.345115,25.158664,25.316494,25.789671,24.471002,3.06838
2010-09-03 15:55:55.700,52.428459,0.404336,26.016462,25.54351,26.72501,24.471002,3.071293
2010-09-03 15:55:55.750,52.417812,0.341632,26.170802,25.224736,25.145812,24.461337,3.207559
2010-09-03 15:55:55.800,52.211966,-0.251448,26.177214,24.204139,27.121393,24.46778,-0.156009
2010-09-03 15:55:55.850,51.867706,-0.23403,25.619158,25.776836,27.114994,24.471002,3.994318
2010-09-03 15:55:55.900,51.342443,-0.297606,25.940877,25.625578,26.177214,24.471002,3.174699
2010-09-03 15:55:55.950,50.270622,0.35034,25.780045,26.174008,26.488944,24.471002,3.678135
2010-09-03 15:55:56.000,48.97166,0.358179,24.987925,25.855655,25.5403,24.464558,3.01188
2010-09-03 15:55:56.050,47.871446,0.511456,26.331502,25.070088,25.937669,24.46778,0.585939
2010-09-03 15:55:56.100,46.753486,0.335535,25.145812,26.092034,25.145812,24.474223,3.284756
2010-09-03 15:55:56.150,45.631976,0.430463,25.46785,24.599411,27.514251,24.464558,-0.07474
2010-09-03 15:55:56.200,44.87957,-0.282801,25.622368,25.701213,26.016462,24.46778,3.243738
2010-09-03 15:55:56.250,44.64533,-0.014565,25.388967,25.625578,26.098448,24.46778,2.895624
2010-09-03 15:55:56.300,44.439484,-0.423886,25.776836,24.671993,26.328297,24.46778,0.94695
2010-09-03 15:55:56.350,44.166204,0.413045,24.915391,25.073302,25.783253,24.464558,3.112186
2010-09-03 15:55:56.400,43.495427,0.993933,25.934461,24.829985,26.48574,24.471002,0.074027
2010-09-03 15:55:56.450,42.874337,0.309408,25.306858,25.385755,26.567645,24.46778,2.975703
2010-09-03 15:55:56.500,42.153872,0.415658,25.852447,24.905747,26.167595,24.46778,2.503321
