date,Actuator Z Position,Motor Z Current,Motor Y Temperature,Motor Z Temperature,Nut Y Temperature,Ambient Temperature,Motor Y Voltage
2010-09-03 09:51:41.000,44.851177,0.319859,26.918955,24.791009,27.390546,23.633352,-8.854597
2010-09-03 09:51:41.010,45.177693,0.298087,26.364978,24.629793,28.485936,23.63013,-9.162588
2010-09-03 09:51:41.020,45.564543,0.4174,27.079398,25.031126,28.021799,23.636574,-8.654123
2010-09-03 09:51:41.030,45.933648,0.453977,27.227014,25.100446,28.48275,23.639796,-1.204279
2010-09-03 09:51:41.040,46.355989,0.434817,26.909369,24.38626,29.106208,23.626909,-1.182357
2010-09-03 09:51:41.050,46.710897,0.360791,25.337201,24.152244,26.125533,23.636574,-5.393444
2010-09-03 09:51:41.060,47.172277,-0.937713,29.190842,25.655895,25.655895,23.633352,-25.087395
2010-09-03 09:51:41.070,47.569774,0.431334,26.440501,23.598249,24.389472,23.623687,-24.897492
2010-09-03 09:51:41.080,48.176667,0.268476,27.073009,24.629793,27.387353,23.633352,-8.95913
2010-09-03 09:51:41.090,48.375415,0.368629,27.151615,21.617601,27.151615,23.626909,-8.927116
2010-09-03 09:51:41.100,48.907777,0.419141,26.213896,24.715223,28.021799,23.633352,-8.890505
2010-09-03 09:51:41.110,49.212998,0.497522,27.616594,24.623371,26.673394,23.63013,-8.01087
2010-09-03 09:51:41.120,49.617592,0.38866,26.988001,24.939335,29.184481,23.633352,-1.203013
2010-09-03 09:51:41.130,50.036383,0.352953,27.305594,24.784589,28.796172,23.63013,-1.260525
2010-09-03 09:51:41.140,50.39484,-0.216613,25.65269,23.598249,25.65269,23.63013,-24.598107
2010-09-03 09:51:41.150,50.888161,0.246704,27.462715,24.705592,26.361779,23.63013,-25.204943
2010-09-03 09:51:41.160,51.282109,0.372113,27.544448,24.629793,27.151615,23.633352,-20.712278
2010-09-03 09:51:41.170,51.658311,0.484459,26.597908,24.547559,27.855293,23.633352,-8.929209
2010-09-03 09:51:41.180,52.215515,0.366017,26.988001,24.544347,27.616594,23.633352,-8.853979
2010-09-03 09:51:41.190,52.520735,0.415658,26.679788,24.155458,27.308787,23.63013,-8.466853
2010-09-03 09:51:41.200,53.067292,0.331181,27.852104,23.832538,28.636303,23.63013,-1.45694
2010-09-03 09:51:41.210,53.432847,0.363404,27.148421,24.547559,27.619785,23.633352,-4.665031
2010-09-03 09:51:41.220,53.858735,0.253671,26.204295,24.942544,28.169124,23.626909,-1.16805
2010-09-03 09:51:41.230,54.025542,-1.201594,28.172312,25.103654,31.455221,23.623687,-3.992325
2010-09-03 09:51:41.240,54.504666,0.355566,26.837116,24.471734,24.55077,23.623687,-25.024515
2010-09-03 09:51:41.250,54.816984,0.304183,26.601105,25.340407,26.837116,23.633352,-7.268679
2010-09-03 09:51:41.260,55.076066,0.368629,27.154809,24.712013,28.253924,23.63013,-7.42785
2010-09-03 09:51:41.270,55.32805,0.352953,27.384161,24.626582,27.069815,23.63013,-7.574756
2010-09-03 09:51:41.280,55.67231,0.346857,26.292643,24.794219,27.629358,23.636574,-7.28334
2010-09-03 09:51:41.290,55.93849,0.366017,26.516013,24.939335,26.988001,23.63013,-5.901104
